ville,province,longitude,latitude,periode,saison,debut,fin,ndwi_moyen,ndvi_moyen,evi_moyen,precipitation,temperature,altitude,humidite_sol
Banwa,Boucle Du Mouhoun,,,2019-T1,seche,2019-01-01,2019-03-31,-0.3897303058819776,0.22064232679136184,0.3614147778645792,0.0008501068944515889,301.23158550123657,346.70697866565405,0.06534177570432413
Kossi,Boucle Du Mouhoun,-3.822956261825886,12.812686525228674,2019-T1,seche,2019-01-01,2019-03-31,-0.3827896738099616,0.21214775875087077,0.3403342068858031,0.0005576630930731134,300.77636263603426,293.3944418740256,0.07763115204444383
Bale,Boucle Du Mouhoun,-3.1562002940694236,11.724962044865523,2019-T1,seche,2019-01-01,2019-03-31,-0.37472444824863754,0.21686775317744061,0.3720593239270053,0.003665760539826283,302.01262925730487,289.66245385220446,0.09459981213602156
Mouhoun,Boucle Du Mouhoun,-3.465560822558568,12.148429141055294,2019-T1,seche,2019-01-01,2019-03-31,-0.3815822350364795,0.22486807868117414,0.38683365624142724,0.0018641600461565936,301.5570191051434,298.28399172912424,0.065229534903123
Nayala,Boucle Du Mouhoun,-3.0944590634145883,12.657096114822512,2019-T1,seche,2019-01-01,2019-03-31,-0.3625956500430683,0.2047332920771149,0.3456707616313271,0.0016354383614395889,300.83869522788194,281.7824974179386,0.0472218341546992
Sourou,Boucle Du Mouhoun,-3.0425338311313457,13.20277689536505,2019-T1,seche,2019-01-01,2019-03-31,-0.36162345238573057,0.20438173831022038,0.3460418844760352,0.0010108863373051618,300.29239213355254,285.56400385503065,0.05864022716985357
Comoe,Cascades,-4.514135440850249,10.486252031591674,2019-T1,seche,2019-01-01,2019-03-31,-0.4124755572826839,0.2817552657278213,0.5158138012153674,0.007317257090147521,302.28647232760375,312.9290116505069,0.10482849460124297
Leraba,Cascades,-5.16214118260538,10.59270126662498,2019-T1,seche,2019-01-01,2019-03-31,-0.45393343419793586,0.30877866928486014,0.5325883725599826,0.003785284159852683,301.8599629031986,395.739589276246,0.09543144292112658
Kadiogo,Centre,-1.4189075947220224,12.312731953406667,2019-T1,seche,2019-01-01,2019-03-31,-0.35009753303751473,0.17779548010092042,0.2810691808893826,0.0018432293720815176,301.1064332468871,307.73791575922803,0.06476908279698909
Boulgou,Centre-est,-0.45761713244389585,11.503793323148528,2019-T1,seche,2019-01-01,2019-03-31,-0.33597028203156803,0.17623932358269825,0.2956863139672766,0.0016356158379703671,302.82877539058865,255.58216146296527,0.11823161077934208
Koulpelogo,Centre-est,0.15035667022296972,11.463301970345205,2019-T1,seche,2019-01-01,2019-03-31,-0.34955023455911094,0.18887410648890726,0.3203202328672901,0.0015344379616763603,302.9819137983691,259.1149121211507,0.10845565592470831
Kouritenga,Centre-est,-0.329596707027452,12.276621177276377,2019-T1,seche,2019-01-01,2019-03-31,-0.34459485915622123,0.1740131807532356,0.2699024613840541,0.0009229931586177693,301.70619679223427,306.9204786849931,0.07644233067317716
Bam,Centre-nord,-1.6136483749809556,13.351495353793153,2019-T1,seche,2019-01-01,2019-03-31,-0.363351527993841,0.1687830368847445,0.23521806725017952,0.0012919097981514466,299.3329538716219,334.0163129623158,0.04737489863326109
Namentenga,Centre-nord,-0.49062813376172576,13.108749399980104,2019-T1,seche,2019-01-01,2019-03-31,-0.338761449899637,0.15916017686382927,0.236823983470229,0.0007321337961253609,300.041810529952,300.8292948855314,0.04940592314796156
Sanmatenga,Centre-nord,-1.0261364414418561,13.177157572778016,2019-T1,seche,2019-01-01,2019-03-31,-0.35140895991276455,0.16635754985663812,0.2449167783709301,0.0010077429738841875,299.6895438070448,313.9949279047657,0.05409318055651401
Boulkiemde,Centre-ouest,-2.116690600453765,12.33281653730948,2019-T1,seche,2019-01-01,2019-03-31,-0.36121322490921753,0.1908205231326732,0.29984613648191427,0.002616472406545311,301.2924908597172,312.39910123302417,0.06992060249000563
Sanguie,Centre-ouest,-2.635215140603591,12.172899114173353,2019-T1,seche,2019-01-01,2019-03-31,-0.36753375526141646,0.20425958306388564,0.3391765846627734,0.004087401602159534,301.15070492159765,281.72584704545613,0.04893077383145411
Sissili,Centre-ouest,,,2019-T1,seche,2019-01-01,2019-03-31,-0.3641950372938538,0.20949834400557074,0.366888269809617,0.004590473693954942,302.4414054480084,308.5288517216317,0.05540315176455051
Ziro,Centre-ouest,-1.789604030127707,11.649300172172008,2019-T1,seche,2019-01-01,2019-03-31,-0.36586977335070303,0.2053398838241776,0.3471618456801299,0.002510546237223226,301.9530613888193,327.23765090353845,0.05342276035536565
Bazega,Centre-sud,-1.3940711729379671,11.929600821086295,2019-T1,seche,2019-01-01,2019-03-31,-0.3565717534531873,0.19569154310872036,0.3302151248896008,0.001262204730659784,301.5123665375814,308.0504250184022,0.06564703777966975
Banwa,Boucle Du Mouhoun,,,2019-T2,transition,2019-04-01,2019-06-30,-0.34050204149919516,0.20814030554697432,0.3805607540045374,0.04201613765692709,304.86518603231707,346.70697866565405,0.10645958190125228
Kossi,Boucle Du Mouhoun,-3.822956261825886,12.812686525228674,2019-T2,transition,2019-04-01,2019-06-30,-0.3081827425006031,0.16238919645791766,0.2830757524890586,0.033113090863483206,305.94249414952696,293.3944418740256,0.09702954616203102
Bale,Boucle Du Mouhoun,-3.1562002940694236,11.724962044865523,2019-T2,transition,2019-04-01,2019-06-30,-0.3490305543982292,0.24366739101830298,0.4887893917554985,0.04810336181329148,304.84751681019355,289.66245385220446,0.13146691089518542
